FID,CODE,NAME,SERIAL,LABEL,PO_NAME,NAME0,x_centr,y_centr
0,00018,Outarea,"3,341.000000000000000",00018,Los Padres NTL Forest,Los Padres Ntl Forest,-118.920701089000000,34.521767673200003
1,90001,Los Angeles,"2,057.000000000000000",90001,Los Angeles,Florence,-118.249830511000000,33.974094763399997
2,90002,Los Angeles,"2,058.000000000000000",90002,Los Angeles,Watts,-118.247016259000010,33.949092795600002
3,90003,Los Angeles,"2,059.000000000000000",90003,Los Angeles,Broadway Manchester,-118.273917114000000,33.964120870400002
4,90004,Los Angeles,"2,060.000000000000000",90004,Los Angeles,Oakwood,-118.311375000000000,34.076243493200003
5,90005,Los Angeles,"2,061.000000000000000",90005,Los Angeles,Sanford,-118.308781397000000,34.059048707199999
6,90006,Los Angeles,"2,062.000000000000000",90006,Los Angeles,Pico Heights,-118.294092617000000,34.048026241099997
7,90007,Los Angeles,"2,063.000000000000000",90007,Los Angeles,Dockweiler,-118.285086221000000,34.027691948300003
8,90008,Los Angeles,"2,064.000000000000000",90008,Los Angeles,Crenshaw,-118.348145985000000,34.009028968999999
9,90010,Los Angeles,"2,065.000000000000000",90010,Los Angeles,Los Angeles,-118.313460785000000,34.062828017900003
10,90011,Los Angeles,"2,066.000000000000000",90011,Los Angeles,Washington,-118.258755461000010,34.007508674999997
11,90012,Los Angeles,"2,067.000000000000000",90012,Los Angeles,Main Office Area 1,-118.238611903000010,34.065829094599998
12,90013,Los Angeles,"2,068.000000000000000",90013,Los Angeles,Main Office Area 2,-118.241711701000000,34.044397226900003
13,90014,Los Angeles,"2,069.000000000000000",90014,Los Angeles,Metropolitan,-118.252294327000000,34.043162346300001
14,90015,Los Angeles,"2,070.000000000000000",90015,Los Angeles,Del Valle,-118.266778329999990,34.039702295900000
15,90016,Los Angeles,"2,071.000000000000000",90016,Los Angeles,West Adams,-118.354173333000010,34.028428641900000
16,90017,Los Angeles,"2,072.000000000000000",90017,Los Angeles,Foy,-118.264673063999990,34.053070832499998
17,90018,Los Angeles,"2,073.000000000000000",90018,Los Angeles,Dockweiler,-118.317715084000000,34.028047473000001
18,90019,Los Angeles,"2,074.000000000000000",90019,Los Angeles,Rimpau,-118.338619378999990,34.048660861899997
19,90020,Los Angeles,"2,075.000000000000000",90020,Los Angeles,Sanford Area 3,-118.310343213000000,34.066328826800003
20,90021,Los Angeles,"2,076.000000000000000",90021,Los Angeles,Market,-118.238877118000000,34.029224622699999
21,90022,Los Angeles,"2,077.000000000000000",90022,Los Angeles,East Los Angeles,-118.155827908000010,34.024784189199998
22,90023,Los Angeles,"2,078.000000000000000",90023,Los Angeles,Lugo,-118.200019818000000,34.018297706600002
23,90024,Los Angeles,"2,079.000000000000000",90024,Los Angeles,Village,-118.435046403000000,34.065341367300000
24,90025,Los Angeles,"2,080.000000000000000",90025,Los Angeles,West Los Angeles,-118.446600085000000,34.045021258100000
25,90026,Los Angeles,"2,081.000000000000000",90026,Los Angeles,Echo Park,-118.263778738000000,34.078766033400001
