"","NAME10","churn9714","churn0012","totemp1997","totemp2000","totemp12","totemp14","totemp9714","totemp0012","growjob","growhov","growinc"
"1","Adelanto",0.569879512,0.596360939,132,6,702,695,696,696,NA,NA,NA
"2","Agoura Hills",0.378658789,0.38402394,2932,3075,4403,4085,1328,1328,-5.85254832351545e-06,-2.46761466382276e-05,1.31184694714634e-05
"3","Alhambra",0.335810287,0.352393558,22008,19769,31244,25239,11475,11475,1.27973101692852e-06,-7.70608609404209e-07,4.27887387344226e-06
"4","Aliso Viejo",0.603258929,0.535001626,844,4414,8271,8693,3857,3857,NA,NA,NA
"5","Alpine",0.315275364,0.330856385,1681,1732,1953,2149,221,221,6.18092302165127e-05,3.27689147192841e-05,0.000114194768596998
"6","Altadena",0.33584016,0.365895906,3800,3495,4670,4336,1175,1175,-3.52115327993991e-06,-1.70913030071435e-05,5.87649385725513e-07
"7","Anaheim",0.359842673,0.370310169,85077,78195,101344,131194.5,23149,23149,2.78113402441695e-08,-6.60316337763678e-07,4.07604646641921e-07
"8","Apple Valley",0.410206247,0.40516282,3872,4562,7728,8564,3166,3166,4.11178456654976e-05,3.50492221527839e-05,3.18980800679527e-05
"9","Arcadia",0.333686482,0.355513686,21438,18550,25851.5,27729.5,7301.5,7301.5,1.21543762490951e-07,8.52840585492491e-07,6.39217557882865e-06
"10","Artesia",0.394412743,0.400937128,11941,7470,4717,5936,-2753,-2753,5.55205261810799e-06,1.54006143930388e-05,-1.2390617147809e-05
"11","Azusa",0.309419725,0.327945133,9959,9548,10112.5,10492,564.5,564.5,-3.13878991042103e-06,-5.09910204860704e-06,3.22486253515501e-06
"12","Baldwin Park",0.305566795,0.325744361,12010,12441,14579,16097,2138,2138,-3.53591262523109e-06,9.15963557075396e-07,1.32575065391046e-05
"13","Banning",0.278300021,0.304014504,2419,2438,4094,4259,1656,1656,-5.87154575840853e-06,4.39400438748975e-05,3.40449385829779e-05
"14","Barstow",0.285362106,0.304019231,2383,2577,3090,4245,513,513,7.43362151202949e-05,5.75363883441987e-05,4.6686277024447e-05
"15","Beaumont",0.296715523,0.314342447,2291,3042,3567,4043,525,525,-6.98498184201183e-06,3.20357041569362e-05,1.45450438474359e-05
"16","Bell",0.304341298,0.329568658,4273,3959,3978,4260,19,19,-4.27906573451061e-06,-1.47188523806769e-07,2.26136441618022e-05
