,NAME10,x_cent,y_cent
1,Yorba Linda,-117.7718831,33.88930698
2,Westminster,-117.9937601,33.75215238
3,Villa Park,-117.8101792,33.8180967
4,Tustin,-117.810731,33.73085205
5,Stanton,-117.9933988,33.80016702
6,Seal Beach,-118.0714099,33.75429995
7,Santa Ana,-117.8818902,33.73669484
8,San Juan Capistrano,-117.6543993,33.501357
9,San Clemente,-117.6103645,33.45022324
10,Rancho Santa Margarita,-117.5987622,33.63185387
11,Placentia,-117.8553494,33.8806252
12,Orange,-117.8231855,33.80464196
13,Newport Beach,-117.8654758,33.61537789
14,Mission Viejo,-117.6550296,33.60959769
15,Los Alamitos,-118.0593047,33.79712666
16,La Palma,-118.0406667,33.85035884
17,Lake Forest,-117.6706834,33.6634129
18,La Habra,-117.951258,33.92770106
19,Laguna Woods,-117.7280553,33.60913591
20,Laguna Niguel,-117.7049141,33.52748509
21,Laguna Hills,-117.6991266,33.59185323
22,Laguna Beach,-117.7612323,33.54486311
23,Irvine,-117.7736333,33.67801089
24,Huntington Beach,-118.0017503,33.69560512
25,Garden Grove,-117.9601111,33.77869405
26,Fullerton,-117.9278509,33.88403781
27,Fountain Valley,-117.9514087,33.71044959
28,Dana Point,-117.6962432,33.47346625
29,Cypress,-118.0385708,33.81706899
30,Costa Mesa,-117.9135048,33.66676513
31,Buena Park,-118.0045176,33.85721267
32,Brea,-117.8660759,33.92524709
33,Anaheim,-117.8576135,33.8389077
34,Aliso Viejo,-117.7299521,33.57793525
35,Westmorland,-115.6223116,33.03892153
36,Imperial,-115.5718603,32.8375048
37,Holtville,-115.3780623,32.81293608
38,El Centro,-115.5579392,32.78709956
39,Calipatria,-115.5058136,33.14882606
40,Calexico,-115.4945783,32.68432119
41,Brawley,-115.529912,32.97870292
42,Vista,-117.2386072,33.18954819
43,Solana Beach,-117.2573774,32.9946479
44,Santee,-116.9848728,32.85543265
45,San Marcos,-117.1743631,33.13496599
46,San Diego,-117.119767,32.83537274
47,Poway,-117.0201153,32.9871518
48,Oceanside,-117.3082467,33.22472213
49,National City,-117.0931331,32.67008009
50,Lemon Grove,-117.0344058,32.7330757
51,La Mesa,-117.0203717,32.77038792
52,Imperial Beach,-117.1184429,32.56873395
53,Escondido,-117.0721226,33.13469537
54,Encinitas,-117.2612324,33.04920464
55,El Cajon,-116.9604836,32.80165819
56,Del Mar,-117.2624966,32.96337282
57,Coronado,-117.1748372,32.67212343
58,Chula Vista,-117.0101332,32.6282507
59,Carlsbad,-117.2835458,33.12455807
60,Yucca Valley,-116.4214785,34.12309413
61,Yucaipa,-117.0435056,34.03307488
62,Victorville,-117.3538551,34.52776911
63,Upland,-117.6602901,34.11784457
64,Twentynine Palms,-116.0655302,34.14831502
65,San Bernardino,-117.2952727,34.13923229
66,Rialto,-117.388536,34.1128158
67,Redlands,-117.1709353,34.05113153
68,Rancho Cucamonga,-117.5661759,34.12458956
69,Ontario,-117.6064271,34.03926494
70,Needles,-114.6191823,34.81599545
71,Montclair,-117.6980532,34.07145359
72,Loma Linda,-117.2503629,34.04478
73,Highland,-117.1652611,34.11130069
74,Hesperia,-117.3143922,34.39734769
75,Grand Terrace,-117.3132409,34.03117124
76,Fontana,-117.4592413,34.09742278
77,Colton,-117.3253717,34.05374661
78,Chino Hills,-117.725327,33.95077455
79,Chino,-117.6652966,33.98358813
80,Big Bear Lake,-116.8958337,34.24292592
81,Barstow,-117.0464034,34.8655082
82,Apple Valley,-117.2110127,34.53159849
83,Adelanto,-117.4410706,34.58681707
84,Menifee,-117.184877,33.69095329
85,Wildomar,-117.2582474,33.61727962
86,Temecula,-117.1223903,33.50299809
87,San Jacinto,-116.9915017,33.79697591
88,Riverside,-117.3948458,33.93812516
89,Rancho Mirage,-116.4273791,33.7617717
90,Perris,-117.2232918,33.78973456
91,Palm Springs,-116.5380208,33.80130932
92,Palm Desert,-116.3695499,33.73781383
93,Norco,-117.5503987,33.92565031
94,Murrieta,-117.1909212,33.57197434
95,Moreno Valley,-117.2045019,33.92443141
96,La Quinta,-116.2784893,33.65373639
97,Lake Elsinore,-117.3340963,33.68428134
98,Indio,-116.2372581,33.72980677
99,Indian Wells,-116.3395744,33.70362679
100,Hemet,-116.994605,33.73522768
101,Desert Hot Springs,-116.5503699,33.96697885
102,Corona,-117.5642245,33.86235719
